Name,shape,year,Brand,Link,cost,sales,Colorway,color,category,size,default
Vapor Jelly Bean,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-jelly-bean?variant=50851475325231&sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Vapor Jelly Bean,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-jelly-bean?variant=51362975908143&sca_ref=10748848.AHQuNeZGEN,$,100.0,Pink,pink,paddle,16mm,
Vapor Jelly Bean,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-jelly-bean?variant=52085192687919&sca_ref=10748848.AHQuNeZGEN,$,100.0,Cornflower Blue,blue,paddle,16mm,
Vapor All Court,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-all-court?sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Vapor All Court Royal Burst,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-all-court-royal-burst?sca_ref=10748848.AHQuNeZGEN,$,100.0,Royal,purple,paddle,16mm,
Pegasus Jelly Bean,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-jelly-bean?variant=50851474768175&sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Pegasus Jelly Bean,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-jelly-bean?variant=51362989146415&sca_ref=10748848.AHQuNeZGEN,$,100.0,Pink,pink,paddle,16mm,
Pegasus Power,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-power?variant=50957784940847&sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Pegasus Power,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-power?variant=52089894928687&sca_ref=10748848.AHQuNeZGEN,$,100.0,Lavender,purple,paddle,16mm,
Pegasus Alpha Pro Power,Widebody,,11six24,https://11six24.com/collections/top-widebody-paddles/products/pegasus-alpha-pro-power?sca_ref=10748848.AHQuNeZGEN,$$,100.0,White,white,paddle,16mm,
